Date,AAPL,JNJ,MSFT,PG,XOM
1990-01-02,0.26184165477752686,3.2556779384613037,0.37850043177604675,3.719500780105591,3.8322343826293945
1990-01-03,0.2635987401008606,3.269270420074463,0.3806334435939789,3.712902784347534,3.7939093112945557
1990-01-04,0.26447799801826477,3.2760674953460693,0.391828328371048,3.640362024307251,3.755589723587036
1990-01-05,0.26535677909851074,3.2420835494995117,0.3822326362133026,3.574411392211914,3.736429214477539
1990-01-08,0.26711392402648926,3.296459436416626,0.3880962133407593,3.640362024307251,3.7939093112945557
1990-01-09,0.26447799801826477,3.1945056915283203,0.38703015446662903,3.640362024307251,3.717266082763672
1990-01-10,0.2530554533004761,3.1469287872314453,0.37636807560920715,3.660144329071045,3.736429214477539
1990-01-11,0.2425113171339035,3.1877098083496094,0.36890465021133423,3.712902784347534,3.755589723587036
1990-01-12,0.2425113171339035,3.0925536155700684,0.36730533838272095,3.59741473197937,3.6597867012023926
1990-01-15,0.2407541573047638,3.078960657119751,0.36730533838272095,3.610689878463745,3.7076869010925293
1990-01-16,0.24514718353748322,3.078960657119751,0.37850043177604675,3.6571500301361084,3.6885244846343994
1990-01-17,0.23372453451156616,3.0517733097076416,0.37316974997520447,3.637239456176758,3.63104248046875
1990-01-18,0.22757428884506226,3.078960657119751,0.4051555097103119,3.690338134765625,3.6789441108703613
1990-01-19,0.2407541573047638,3.1197407245635986,0.4014242887496948,3.6637895107269287,3.726846933364868
1990-01-22,0.23372453451156616,3.010990858078003,0.38703015446662903,3.5775046348571777,3.6023008823394775
1990-01-23,0.23723895847797394,3.004195213317871,0.3827654719352722,3.5111305713653564,3.611881971359253
1990-01-24,0.23899607360363007,2.9498205184936523,0.38703015446662903,3.517765998840332,3.6023008823394775
1990-01-25,0.23987559974193573,2.8818531036376953,0.38703015446662903,3.3319244384765625,3.5256574153900146
1990-01-26,0.23020999133586884,2.8750553131103516,0.38703015446662903,3.3518354892730713,3.583139181137085
1990-01-29,0.23372453451156616,2.8750553131103516,0.3902289867401123,3.325286626815796,3.6023008823394775
1990-01-30,0.23899607360363007,2.82747745513916,0.3891628384590149,3.3319244384765625,3.6023008823394775
1990-01-31,0.23899607360363007,2.8478689193725586,0.39449360966682434,3.3982980251312256,3.6023008823394775
1990-02-01,0.23636020720005035,2.902243137359619,0.39982491731643677,3.431483268737793,3.6023008823394775
1990-02-02,0.2407541573047638,2.970210552215576,0.39982491731643677,3.4580328464508057,3.669365644454956
1990-02-05,0.24602577090263367,2.9498205184936523,0.4019571542739868,3.4845805168151855,3.6789441108703613
1990-02-06,0.2442685216665268,2.9362270832061768,0.40089115500450134,3.4580328464508057,3.667301893234253
1990-02-07,0.23372453451156616,2.9770073890686035,0.39769214391708374,3.497854709625244,3.725513219833374
1990-02-08,0.23196722567081451,3.0313827991485596,0.4019571542739868,3.4779434204101562,3.7352163791656494
1990-02-09,0.2407541573047638,3.0517733097076416,0.4030233323574066,3.517765998840332,3.7449166774749756
1990-02-12,0.23899607360363007,3.0313827991485596,0.4040893614292145,3.4580328464508057,3.6576011180877686
1990-02-13,0.2425113171339035,3.0062367916107178,0.4040893614292145,3.4580328464508057,3.667301893234253
1990-02-14,0.2407541573047638,3.0335686206817627,0.4051555097103119,3.4845805168151855,3.647900342941284
1990-02-15,0.2407541573047638,3.081394910812378,0.41368523240089417,3.5376787185668945,3.7643210887908936
1990-02-16,0.2380031794309616,3.0335686206817627,0.4179503619670868,3.5509543418884277,3.725513219833374
1990-02-20,0.23624032735824585,2.978910446166992,0.427545964717865,3.464669704437256,3.6770060062408447
1990-02-21,0.23976601660251617,2.9379160404205322,0.40995389223098755,3.431483268737793,3.696406841278076
1990-02-22,0.2327146679162979,2.903754234313965,0.4110197424888611,3.3518354892730713,3.6576011180877686
1990-02-23,0.23447751998901367,2.8490946292877197,0.41581758856773376,3.3186469078063965,3.6576011180877686
1990-02-26,0.23976601660251617,2.9174182415008545,0.42328107357025146,3.3518354892730713,3.7449166774749756
1990-02-27,0.23624032735824585,2.9174182415008545,0.4179503619670868,3.3518354892730713,3.754619598388672
1990-02-28,0.23976601660251617,2.9310827255249023,0.42114874720573425,3.3916585445404053,3.647900342941284
1990-03-01,0.24152976274490356,2.951580286026001,0.42647936940193176,3.36510968208313,3.6090898513793945
1990-03-02,0.2380031794309616,3.0062367916107178,0.4424724876880646,3.36510968208313,3.628497362136841
1990-03-05,0.24329254031181335,2.9584133625030518,0.44886988401412964,3.36510968208313,3.5896875858306885
1990-03-06,0.248581200838089,3.0199036598205566,0.445671021938324,3.36510968208313,3.6576011180877686
1990-03-07,0.24946270883083344,3.0199036598205566,0.43820786476135254,3.36510968208313,3.6090898513793945
1990-03-08,0.2591593265533447,3.054067373275757,0.4531344771385193,3.4513959884643555,3.628497362136841
1990-03-09,0.26004067063331604,3.040400981903076,0.4542005956172943,3.4447569847106934,3.599390983581543
1990-03-12,0.25827789306640625,3.0267350673675537,0.4616640508174896,3.4049339294433594,3.6090898513793945
1990-03-13,0.26004067063331604,2.972079277038574,0.4531344771385193,3.4049339294433594,3.5411794185638428
1990-03-14,0.2609221041202545,3.0130720138549805,0.4600647985935211,3.4580328464508057,3.6090898513793945
1990-03-15,0.2591593265533447,3.1087253093719482,0.4733923673629761,3.431483268737793,3.638197422027588
1990-03-16,0.28384116291999817,3.129220962524414,0.48618724942207336,3.517765998840332,3.6867077350616455
1990-03-19,0.2988263964653015,3.115558385848999,0.4968491196632385,3.5841424465179443,3.6867077350616455
